user_id,account_age_days,transaction_amount,transaction_hour,payment_method,is_international,device_type,transactions_last_1h,transactions_last_24h,previous_fraud_flag,is_fraud
4174,915,86.24,20,mpesa,0,desktop,2,3,1,0
4507,210,48.16,16,card,0,mobile,3,7,0,0
1860,741,236.37,22,paypal,0,desktop,0,6,0,0
2294,862,77.04,9,card,0,desktop,2,4,0,0
2130,275,192.88,18,card,0,desktop,1,6,0,0
2095,954,104.28,10,card,0,desktop,4,6,0,0
4772,279,177.98,19,mpesa,0,mobile,4,6,0,0
4092,251,48.54,21,mpesa,1,mobile,2,6,0,0
2638,310,213.64,23,paypal,0,mobile,0,4,0,0
3169,720,38.52,12,mpesa,0,mobile,2,7,0,0
1466,833,94.79,3,paypal,1,desktop,1,3,0,0
2238,140,28.9,14,paypal,0,desktop,1,5,0,0
1330,792,77.44,11,card,0,mobile,3,5,0,0
2482,546,45.96,23,card,0,desktop,2,9,0,0
3135,821,37.22,9,mpesa,0,desktop,2,4,0,0
4444,904,409.3,21,paypal,0,mobile,1,6,0,1
4171,530,20.93,6,paypal,0,mobile,0,6,0,0
3919,57,185.76,23,card,0,mobile,0,8,0,0
4735,112,497.46,1,card,0,desktop,1,3,0,1
1130,5,2.41,20,card,1,desktop,5,8,0,0
2685,410,144.09,6,mpesa,0,desktop,1,8,0,0
4380,414,34.99,7,paypal,0,desktop,0,6,0,0
1769,182,4.96,20,paypal,0,desktop,2,7,0,0
3391,13,61.88,18,paypal,0,desktop,1,5,0,0
2515,339,328.41,5,card,0,mobile,4,3,0,0
4485,797,1.42,20,mpesa,0,mobile,0,6,0,0
3853,259,106.37,7,mpesa,0,mobile,1,7,0,0
3433,90,83.51,21,card,0,mobile,3,6,0,0
2215,616,247.99,19,mpesa,0,desktop,2,1,0,0
1955,891,10.53,3,mpesa,0,mobile,3,6,0,0
3324,698,137.31,19,paypal,0,mobile,2,7,0,0
2184,250,136.77,23,card,0,mobile,0,7,0,0
1459,255,132.71,8,card,0,mobile,1,5,0,0
4385,588,342.37,4,card,0,desktop,2,5,0,0
1021,898,207.85,5,card,0,mobile,2,6,0,0
3300,971,5.15,18,paypal,0,desktop,1,4,0,0
1747,108,76.43,11,mpesa,0,mobile,2,8,0,0
3904,668,60.89,4,mpesa,0,desktop,1,6,0,0
4632,594,44.55,4,paypal,0,mobile,0,3,0,0
1474,589,72.03,17,mpesa,0,desktop,2,12,0,0
2082,485,58.18,5,card,0,desktop,3,7,0,0
3558,982,67.95,8,paypal,1,desktop,3,7,0,0
